"","score","text","klasifikasi","x"
"782",-1,"asline aku ki ultramen tapi bar vaksin sinovac kekuatanku ilang","Negatif","asline aku ki ultramen tapi bar vaksin sinovac kekuatanku ilang"
"783",-1," untuk pendaftaran vaksin sinovac hari senin oktober di klinik polresta bandung silahkan klik link dibawah …","Negatif"," untuk pendaftaran vaksin sinovac hari senin oktober di klinik polresta bandung silahkan klik link dibawah …"
"785",-1," ribuan dosis vaksin sinovac terbuang siasia di aceh tenggara garagara warga ","Negatif"," ribuan dosis vaksin sinovac terbuang siasia di aceh tenggara garagara warga "
"786",-1,"untuk pendaftaran vaksin sinovac hari senin oktober di klinik polresta bandung silahkan klik link dibawah… ","Negatif","untuk pendaftaran vaksin sinovac hari senin oktober di klinik polresta bandung silahkan klik link dibawah… "
"788",0,"ayo vaksin • moderna dosis • astrazeneca dosis • sinovac dosis dan bersama biddokkes polda kepri di… ","Netral","ayo vaksin • moderna dosis • astrazeneca dosis • sinovac dosis dan bersama biddokkes polda kepri di… "
"789",1,"ayo vaksin hari jumat tanggal oktober dimulai pukul wib sd selesai di aula kecamatan guntur kabupa… ","Positif","ayo vaksin hari jumat tanggal oktober dimulai pukul wib sd selesai di aula kecamatan guntur kabupa… "
"790",0," kak nis dapet vaksin sinovac ya","Netral"," kak nis dapet vaksin sinovac ya"
"791",1," perlahan bukan hanya sebab vaksin astrazeneca ia kerana kadar vaksin dosis peama pada dan minggu lepas memang padar k…","Positif"," perlahan bukan hanya sebab vaksin astrazeneca ia kerana kadar vaksin dosis peama pada dan minggu lepas memang padar k…"
"793",0,"situbondo • gencarkan serbuan vaksinasi covid dosis dan dengan jenis vaksin sinovac dan astrazeneca kegiata… ","Netral","situbondo • gencarkan serbuan vaksinasi covid dosis dan dengan jenis vaksin sinovac dan astrazeneca kegiata… "
"794",0," coba ke kaika husada kak doi banyak vaksin hampir tiap minggu vaksinan dia ada sinovac ada pfizer wa… ","Netral"," coba ke kaika husada kak doi banyak vaksin hampir tiap minggu vaksinan dia ada sinovac ada pfizer wa… "
"796",0,"vaksin mung sinovac kok sokan kemlinthi le","Netral","vaksin mung sinovac kok sokan kemlinthi le"
"797",1," coba ke puskesmas ya nder apa rata vaksin di daerahmu itu astraz soalnya kalau sinovac boleh kok dibawa… ","Positif"," coba ke puskesmas ya nder apa rata vaksin di daerahmu itu astraz soalnya kalau sinovac boleh kok dibawa… "
"798",3," jenis vaksin apa sih yang paling bagus hallo sobat ksr uns ramai dibincangkan mengenai jenis vaksin yang lebih bagus ini…","Positif"," jenis vaksin apa sih yang paling bagus hallo sobat ksr uns ramai dibincangkan mengenai jenis vaksin yang lebih bagus ini…"
"800",0," vaksin sinovac dosis salah memberi informasi aku","Netral"," vaksin sinovac dosis salah memberi informasi aku"
"801",-1,"tipu la kalau korang rasa benda ini bukan flex siapa takde tu auto orang lari beb credit … ","Negatif","tipu la kalau korang rasa benda ini bukan flex siapa takde tu auto orang lari beb credit … "
"803",-1," pas banget aku sinovac pas hari h suntik kedua masih hahahihi eh seminggu kemudian muncul hal yang membuat… ","Negatif"," pas banget aku sinovac pas hari h suntik kedua masih hahahihi eh seminggu kemudian muncul hal yang membuat… "
"805",-3," tim riset di indonesia mengatakan efikasi vaksin covid sinovac turun menjadi persen setelah bulan pemberian boo…","Negatif"," tim riset di indonesia mengatakan efikasi vaksin covid sinovac turun menjadi persen setelah bulan pemberian boo…"
"806",0,"kalaumall udah rame siapsiap panen kasus covid pas masa perlindungan vaksin selesai sinovac itu bulan setel… ","Netral","kalaumall udah rame siapsiap panen kasus covid pas masa perlindungan vaksin selesai sinovac itu bulan setel… "
"808",1," suasana vaksinasi yang diselenggarakan oleh ika universitas airlangga yang diselenggarakan hari minggu … ","Positif"," suasana vaksinasi yang diselenggarakan oleh ika universitas airlangga yang diselenggarakan hari minggu … "
"809",1,"rengiat pelaksanaan vaksinasi di wilayah kecamatan tanggungharjo hari senin oktoberber mulai pukul … ","Positif","rengiat pelaksanaan vaksinasi di wilayah kecamatan tanggungharjo hari senin oktoberber mulai pukul … "
"810",0,"sok yang kemarin pada gamau vaksin karena pakai sinovac maunya yang lain sekarang moderna sama pfizer sudah ada di puskesmas…jangan banyak a… ","Netral","sok yang kemarin pada gamau vaksin karena pakai sinovac maunya yang lain sekarang moderna sama pfizer sudah ada di puskesmas…jangan banyak a… "
"811",1,"terlebih saat ini pemerintah sudah menyiapkan stok vaksin covid dari berbagai produsen vaksin yang dibeli pem… ","Positif","terlebih saat ini pemerintah sudah menyiapkan stok vaksin covid dari berbagai produsen vaksin yang dibeli pem… "
"813",2,"sbb sekolah sudah nak bukak tapi vaksin yang di bagi pfizer saya nak vaksin sinovac taknak pfizer pastu sis dekat ka… ","Positif","sbb sekolah sudah nak bukak tapi vaksin yang di bagi pfizer saya nak vaksin sinovac taknak pfizer pastu sis dekat ka… "
"814",1,"studi di turki vaksin booster dengan pfizer menghasilkan perlindungan lebih besar daripada sinovac ","Positif","studi di turki vaksin booster dengan pfizer menghasilkan perlindungan lebih besar daripada sinovac "
"817",0,"kalian menggunakan vaksin apa — sinovac sih kemarin ","Netral","kalian menggunakan vaksin apa — sinovac sih kemarin "
"818",-1,"jog ada tidak sih yang ambil vaksin sinovac tapi tidak ada gejala apapun bahkan sakit pegal juga enggasumpah enak banget diki… ","Negatif","jog ada tidak sih yang ambil vaksin sinovac tapi tidak ada gejala apapun bahkan sakit pegal juga enggasumpah enak banget diki… "
"819",1," perlahan bukan hanya sebab vaksin astrazeneca ia kerana kadar vaksin dosis peama pada dan minggu lepas me… ","Positif"," perlahan bukan hanya sebab vaksin astrazeneca ia kerana kadar vaksin dosis peama pada dan minggu lepas me… "
"821",0,"ada yang tau cari vaksin booster di mana buat ou sih mreka bulan maret dapet sinovac bayar tidak apa-apa deh","Netral","ada yang tau cari vaksin booster di mana buat ou sih mreka bulan maret dapet sinovac bayar tidak apa-apa deh"
"822",-2," keberkesanan vaksin sinovac pfizer sama dan setanding lawan covid ","Negatif"," keberkesanan vaksin sinovac pfizer sama dan setanding lawan covid "
"823",0," ikut ketahanan badan je awak ada yang amik pfizer takde effect langsung ada yang effect macam dem… ","Netral"," ikut ketahanan badan je awak ada yang amik pfizer takde effect langsung ada yang effect macam dem… "
"824",0," pak bagaimana dengan vaksin plasebo yang pernah heboh beritanya disini tiba tiba menguap begitu saja… ","Netral"," pak bagaimana dengan vaksin plasebo yang pernah heboh beritanya disini tiba tiba menguap begitu saja… "
"825",-3,"tim riset di indonesia mengatakan efikasi vaksin covid sinovac turun menjadi persen setelah bulan pember… ","Negatif","tim riset di indonesia mengatakan efikasi vaksin covid sinovac turun menjadi persen setelah bulan pember… "
"826",-2,"rausah kakean cangkem asline aku ki ultramantapi bar vaksin sinovac kekuatanku ilang","Negatif","rausah kakean cangkem asline aku ki ultramantapi bar vaksin sinovac kekuatanku ilang"
"827",-1,"eddy yoshawirja warga di bilangan pecinan lama kota bandung menjadi warga lanjut usia lansia teua yang… ","Negatif","eddy yoshawirja warga di bilangan pecinan lama kota bandung menjadi warga lanjut usia lansia teua yang… "
"828",1," piem mail negara luar mana yang sudah setuju terima rakyat kita yang sudah lengkap vaksin sinovac awak pun terminal… ","Positif"," piem mail negara luar mana yang sudah setuju terima rakyat kita yang sudah lengkap vaksin sinovac awak pun terminal… "
"829",-1,"informasi vaksin covid bogor puskesmas tanjungsari untuk masyarakat umum hari ini pakai pfizer dan sinovac ","Negatif","informasi vaksin covid bogor puskesmas tanjungsari untuk masyarakat umum hari ini pakai pfizer dan sinovac "
"830",-1,"asline aku iki ultramentapi bar di vaksin sinovac kekuatanku ilang","Negatif","asline aku iki ultramentapi bar di vaksin sinovac kekuatanku ilang"
"831",1," apakah tim riset di indonesia telah mengadakan penelitian sampel dari manusia yang di vaksin dengan vaksi… ","Positif"," apakah tim riset di indonesia telah mengadakan penelitian sampel dari manusia yang di vaksin dengan vaksi… "
"832",-1," kalau sekedar butuh seifikat harusnya pakai sinovac aja saya juga tidak percaya vaksin tapi karena ribet mau kem…","Negatif"," kalau sekedar butuh seifikat harusnya pakai sinovac aja saya juga tidak percaya vaksin tapi karena ribet mau kem…"
"834",1," ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam wit…","Positif"," ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam wit…"
"836",1," ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam wi…","Positif"," ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam wi…"
"837",1,"ayo daftar jadwal vaksin gratis cikarang pada oktober dosis sinovac di sgc sea informasi … ","Positif","ayo daftar jadwal vaksin gratis cikarang pada oktober dosis sinovac di sgc sea informasi … "
"838",0,"dalam rumah ini kami semua sudah dosis vaksin yang paling steady tak ada simptom kecuali hari peama mak aku dia am… ","Netral","dalam rumah ini kami semua sudah dosis vaksin yang paling steady tak ada simptom kecuali hari peama mak aku dia am… "
"840",3," jujur ya nder aku vaksin sinovac tidak ada efek apa² cuma kaya ngerasa jadi laper terus gitu kalausampe d… ","Positif"," jujur ya nder aku vaksin sinovac tidak ada efek apa² cuma kaya ngerasa jadi laper terus gitu kalausampe d… "
"842",0,"malaysia dilaporkan memberikan kelulusan bersyarat untuk vaksin covid keluaran biotech ltd china diguna… ","Netral","malaysia dilaporkan memberikan kelulusan bersyarat untuk vaksin covid keluaran biotech ltd china diguna… "
"843",-1,"informasi vaksin covid massal bogor puskesmas cinagara oktober pakai pfizer dan sinovac ","Negatif","informasi vaksin covid massal bogor puskesmas cinagara oktober pakai pfizer dan sinovac "
"844",1,"ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam … ","Positif","ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari senin tanggal oktober jam … "
"845",0," pembukaan ini dijangka bermula bulan depan november ","Netral"," pembukaan ini dijangka bermula bulan depan november "
"846",0," aneh aja orang tu ya padahal aku mah pengen nya dapat pfizer astrazeneca atau moderna tap… ","Netral"," aneh aja orang tu ya padahal aku mah pengen nya dapat pfizer astrazeneca atau moderna tap… "
"847",2,"hayo siapa yang masih takut vaksin dan jadi maju mundur cantik baca dulu deh ya curhatan saya tentang efek vaksi… ","Positif","hayo siapa yang masih takut vaksin dan jadi maju mundur cantik baca dulu deh ya curhatan saya tentang efek vaksi… "
"849",1,"informasi vaksin massal pfizer dan sinovac bogor oktober hanya tersedia kuota saja ","Positif","informasi vaksin massal pfizer dan sinovac bogor oktober hanya tersedia kuota saja "
"850",1,"emak aku al mama kan sudah boleh vaksin nih emak aku penyintas covid tadinya blon boleh vaksin daftarin jaki car… ","Positif","emak aku al mama kan sudah boleh vaksin nih emak aku penyintas covid tadinya blon boleh vaksin daftarin jaki car… "
"851",1,"yth segenap warga ngestiharjo bagi saudaraku warga domisili ngestiharjo yang belum vaksinasi covid bisa mengkuti… ","Positif","yth segenap warga ngestiharjo bagi saudaraku warga domisili ngestiharjo yang belum vaksinasi covid bisa mengkuti… "
"852",2," vaksin ke ke sinovac tuh aman aman ajaa ini badan terus vaksin ke moderna astagaaaaa tidak lagi lagi deh ampun bgtt sakitnyaaa","Positif"," vaksin ke ke sinovac tuh aman aman ajaa ini badan terus vaksin ke moderna astagaaaaa tidak lagi lagi deh ampun bgtt sakitnyaaa"
"853",-1," imunisasi covid penggunaan vaksin coronavac keluaran sinovac life sciences co ltd china dan pharmaniaga lifesciences…","Negatif"," imunisasi covid penggunaan vaksin coronavac keluaran sinovac life sciences co ltd china dan pharmaniaga lifesciences…"
"855",1," tolong di baca ada tulisannya kan sinovac vaksin peama","Positif"," tolong di baca ada tulisannya kan sinovac vaksin peama"
"856",1," dan katanya kalauyg dapat sinovac bakalan vaksin ke tidak sih yang moderna seperti nakes ","Positif"," dan katanya kalauyg dapat sinovac bakalan vaksin ke tidak sih yang moderna seperti nakes "
"857",-1," dan kebetulan saya sendiri sempet cek antibodi kuantitatif covid kan… ","Negatif"," dan kebetulan saya sendiri sempet cek antibodi kuantitatif covid kan… "
"858",1,"umum yang beempat di kampus feb untan vaksinasi covid tahap kali ini berhasil mencapai angka vial sinov… ","Positif","umum yang beempat di kampus feb untan vaksinasi covid tahap kali ini berhasil mencapai angka vial sinov… "
"859",0," sebanyak pelajar sama di cilacap hari ini mendapatkan suntikan vaksin covid dosis peama jenis sinovac saya meninj…","Netral"," sebanyak pelajar sama di cilacap hari ini mendapatkan suntikan vaksin covid dosis peama jenis sinovac saya meninj…"
"860",0,"eh cu udah vaksin kah kmu sudah dimana di oh sinovac kah iya selesai","Netral","eh cu udah vaksin kah kmu sudah dimana di oh sinovac kah iya selesai"
"861",0," kamu udah vaksin sinovac tapi kena kopid kak","Netral"," kamu udah vaksin sinovac tapi kena kopid kak"
"864",-2,"rasah kakean omong aku ki asline ultramen tapi bar vaksin sinovac kekuatan ilang","Negatif","rasah kakean omong aku ki asline ultramen tapi bar vaksin sinovac kekuatan ilang"
"865",-1," mbak aku demam lemes nyuruh nyuruh aku akunya yang capek giliran aku vaksin dapet sinovac alhamduli… ","Negatif"," mbak aku demam lemes nyuruh nyuruh aku akunya yang capek giliran aku vaksin dapet sinovac alhamduli… "
"866",1," gelombang ketiga itu profit taking vaksin ke kan bayar tidak gratis sinovac aja rb paling murah tuh dibanding mo…","Positif"," gelombang ketiga itu profit taking vaksin ke kan bayar tidak gratis sinovac aja rb paling murah tuh dibanding mo…"
"867",0,"siswai smk yapisda ikuti vaksin sinovac danramil cisoka kapten inf jefriansen sipayung masih ini bagian proses… ","Netral","siswai smk yapisda ikuti vaksin sinovac danramil cisoka kapten inf jefriansen sipayung masih ini bagian proses… "
"868",-1,"vaksin sinovac aja sok ketas lu","Negatif","vaksin sinovac aja sok ketas lu"
"870",1," aku vaksin sinovac alhamdulillah tidak apa-apa sih nder cuma pegal dibagian suntikan bentar aja tidak smpe berhari hehe","Positif"," aku vaksin sinovac alhamdulillah tidak apa-apa sih nder cuma pegal dibagian suntikan bentar aja tidak smpe berhari hehe"
"871",0," wajar vaksin apa ngomong-ngomong sinovac ","Netral"," wajar vaksin apa ngomong-ngomong sinovac "
"872",-2," engga kaaak wkwk mungkin karena aku vaksin dan nya sinovac terus aku nakespro juga jadi ditambahin kaaak wkwk","Negatif"," engga kaaak wkwk mungkin karena aku vaksin dan nya sinovac terus aku nakespro juga jadi ditambahin kaaak wkwk"
"873",0," si geo suruh pakai vaksin sinovac","Netral"," si geo suruh pakai vaksin sinovac"
"874",-2," dosis sinovac telat hari nih kynya kalau lihat jadwal bulanan kak gila yah tidak cuma dari satu jenis… ","Negatif"," dosis sinovac telat hari nih kynya kalau lihat jadwal bulanan kak gila yah tidak cuma dari satu jenis… "
"875",1," temen aku ngetwit dia vaksin sinovac tiap bulan untungnya sih tidak kenapa kayaknya dia","Positif"," temen aku ngetwit dia vaksin sinovac tiap bulan untungnya sih tidak kenapa kayaknya dia"
"876",0,"vaksin covid sinovac buatan tiongkok dapat digunakan pada remaja berusia antara dan tahun selengkapnya … ","Netral","vaksin covid sinovac buatan tiongkok dapat digunakan pada remaja berusia antara dan tahun selengkapnya … "
"878",2," terhitung sejak tanggal september sentra vaksinasi l jakaa akan melayani pemberian vaksin dosis dengan jenis…","Positif"," terhitung sejak tanggal september sentra vaksinasi l jakaa akan melayani pemberian vaksin dosis dengan jenis…"
"879",-1,"rasah kakean cangkem aku ki asline untramentp bar vaksin sinovac wingenane kekuatanku ilang","Negatif","rasah kakean cangkem aku ki asline untramentp bar vaksin sinovac wingenane kekuatanku ilang"
"880",2," vaksin aja gapapa ambil sinovac yang efeknya paling ringan diantara yang lainnya tapi tetap kon… ","Positif"," vaksin aja gapapa ambil sinovac yang efeknya paling ringan diantara yang lainnya tapi tetap kon… "
"881",0," jadwal vaksin jogja kulon progo oktober sinovac dosis link daftar tidak ","Netral"," jadwal vaksin jogja kulon progo oktober sinovac dosis link daftar tidak "
"882",0," aneh sinovac itu malah paling aman semua anak sekolah di vaksin sinovac kok ngomong-ngomong kamu minum obatnya tidak… ","Netral"," aneh sinovac itu malah paling aman semua anak sekolah di vaksin sinovac kok ngomong-ngomong kamu minum obatnya tidak… "
"883",0," sinovac taon sesuk vaksin neh","Netral"," sinovac taon sesuk vaksin neh"
"884",0,"saya vaksin peama dosis sinovac untuk umur tahun sampai ke atas kan tapi saya masih umur tahun karena say… ","Netral","saya vaksin peama dosis sinovac untuk umur tahun sampai ke atas kan tapi saya masih umur tahun karena say… "
"885",0,"hari ini sabtu tanggal jam wibpolresta bandara soetta bersama jajaran tni dan stakeholder melaksanakan… ","Netral","hari ini sabtu tanggal jam wibpolresta bandara soetta bersama jajaran tni dan stakeholder melaksanakan… "
"886",0,"kenyataan akhbar kementerian kesihatan pihak berkuasa kawalan dadah yang bermesyuarat hari ini m… ","Netral","kenyataan akhbar kementerian kesihatan pihak berkuasa kawalan dadah yang bermesyuarat hari ini m… "
"888",0," tidak napsu makan om abis vaksin sinovac dosis malam ny masuk anginperut berasa kenyanv hbis maksi tadi ","Netral"," tidak napsu makan om abis vaksin sinovac dosis malam ny masuk anginperut berasa kenyanv hbis maksi tadi "
"889",-1,"agar vaksin sinovac tidak mubazir nidom menyarankan untuk kembali dievaluasi jika dikatakan masih efektif untuk v… ","Negatif","agar vaksin sinovac tidak mubazir nidom menyarankan untuk kembali dievaluasi jika dikatakan masih efektif untuk v… "
"890",1," aku vaksin sinovac aja tidak ada efek apa kok sebelumnya konsul ke dokter kalaulg tidak kambuh kondisi sehat tidak apa-apa vaksin","Positif"," aku vaksin sinovac aja tidak ada efek apa kok sebelumnya konsul ke dokter kalaulg tidak kambuh kondisi sehat tidak apa-apa vaksin"
"891",0," australia mulai membuka perbatasannya pada november nanti traveler dengan vaksin sinovac diperbolehkan masuk ke sana ","Netral"," australia mulai membuka perbatasannya pada november nanti traveler dengan vaksin sinovac diperbolehkan masuk ke sana "
"892",0," kerajaan china juga bersetuju untuk menderma tambahan juta dosis kepada kita untuk ditambah kepada ribu yang sudahpun…","Netral"," kerajaan china juga bersetuju untuk menderma tambahan juta dosis kepada kita untuk ditambah kepada ribu yang sudahpun…"
"893",0,"terus harusnya dosis ke tanggal tapi diundur karena tmptnya dipake sama ds lainfyi disini perdesa terus ada informasi lagi tanggal… ","Netral","terus harusnya dosis ke tanggal tapi diundur karena tmptnya dipake sama ds lainfyi disini perdesa terus ada informasi lagi tanggal… "
"894",-1," gws elnim aku waktu itu vaksin peama sama kedua sama sama demam ngomong-ngomong vaksinnya astrazen apa sinovac","Negatif"," gws elnim aku waktu itu vaksin peama sama kedua sama sama demam ngomong-ngomong vaksinnya astrazen apa sinovac"
"895",-1,"asline aku iki ultramen tpi mari di vaksin sinovac kekuatanku ilang v","Negatif","asline aku iki ultramen tpi mari di vaksin sinovac kekuatanku ilang v"
"896",1,"vaksin sinopharm sama sinovac teh sama tidak si lihat di google beda tapi baru inget pas vaksin nakes bilangnya sinovac… ","Positif","vaksin sinopharm sama sinovac teh sama tidak si lihat di google beda tapi baru inget pas vaksin nakes bilangnya sinovac… "
"897",0," sinovac ngomong-ngomong kalauabis vaksin terus antigen hasilnya reaktif tidak sih","Netral"," sinovac ngomong-ngomong kalauabis vaksin terus antigen hasilnya reaktif tidak sih"
"898",3," selamat malam min maaf ini seifikat vaksin saya yang dosis sama kok tidak ada ya di app peduli lin… ","Positif"," selamat malam min maaf ini seifikat vaksin saya yang dosis sama kok tidak ada ya di app peduli lin… "
"899",-2," baru mau vaksin senin besok sinovac yang pakai sinovac efek sampingnya apa aja yalebih takut kena efek… ","Negatif"," baru mau vaksin senin besok sinovac yang pakai sinovac efek sampingnya apa aja yalebih takut kena efek… "
"900",0,"kerajaan china juga bersetuju untuk menderma tambahan juta dosis kepada kita untuk ditambah kepada ribu yang su… ","Netral","kerajaan china juga bersetuju untuk menderma tambahan juta dosis kepada kita untuk ditambah kepada ribu yang su… "
"901",0," kamu jangan vc aku dulu lah lagi sakit hahahahahahaha kok ngetawain tuh kan gegayaan vaksin mode… ","Netral"," kamu jangan vc aku dulu lah lagi sakit hahahahahahaha kok ngetawain tuh kan gegayaan vaksin mode… "
"902",0," sinovac vaksin paling pupuk bawang alias santuy","Netral"," sinovac vaksin paling pupuk bawang alias santuy"
"903",0,"rekomendasi tersebut juga memungkinkan diizinkannya kembali masuknya pelajar internasional dari sejumlah negara sep… ","Netral","rekomendasi tersebut juga memungkinkan diizinkannya kembali masuknya pelajar internasional dari sejumlah negara sep… "
"905",1,"lanang kok vaksin sinovac rak gentle banget","Positif","lanang kok vaksin sinovac rak gentle banget"
"906",0,"rapopo vaksin sinovac timbang astrazeneca honda motor opo moderna modarne ","Netral","rapopo vaksin sinovac timbang astrazeneca honda motor opo moderna modarne "
"908",-1," nenek aku darah tinggi umurnya udah alhamdulilah after vaksin gapapa ko nder dia pakai vaksin sinovac","Negatif"," nenek aku darah tinggi umurnya udah alhamdulilah after vaksin gapapa ko nder dia pakai vaksin sinovac"
"909",-1,"rasah kakean cangkem asline aku ki ultraman tapi bar vaksin sinovac dadi kekuatanku ilang","Negatif","rasah kakean cangkem asline aku ki ultraman tapi bar vaksin sinovac dadi kekuatanku ilang"
"911",0," sinovac besok tanggal vaksin kedua hihi","Netral"," sinovac besok tanggal vaksin kedua hihi"
"912",0," sinovac vaksin di sekolah","Netral"," sinovac vaksin di sekolah"
"915",1,"tersedia untuk pesea dengan jenis vaksin sinovac boleh dosis ke dan dosis ke lohhh buka sejak jam … ","Positif","tersedia untuk pesea dengan jenis vaksin sinovac boleh dosis ke dan dosis ke lohhh buka sejak jam … "
"916",2,"pelayanan vaksinasi covid dosis bagi warga kelurahan pejuang akan dilaksanakan vaksin dosis ke jen… ","Positif","pelayanan vaksinasi covid dosis bagi warga kelurahan pejuang akan dilaksanakan vaksin dosis ke jen… "
"918",0,"dalam peristiwa beberapa waktu lalu itu seorang tenaga kesehatan mengalami luka dan dosis vaksin sinovac rusak… ","Netral","dalam peristiwa beberapa waktu lalu itu seorang tenaga kesehatan mengalami luka dan dosis vaksin sinovac rusak… "
"919",2," kegiatan vaksinasi ini ditujukan bagi keluarga besar its dan masyarakat umum berlaku untuk warga negara indonesia… ","Positif"," kegiatan vaksinasi ini ditujukan bagi keluarga besar its dan masyarakat umum berlaku untuk warga negara indonesia… "
"921",1," aku asam lambung aman kok udah kali vaksinn pakai sinovac yang penting sebelum vaksin makan… ","Positif"," aku asam lambung aman kok udah kali vaksinn pakai sinovac yang penting sebelum vaksin makan… "
"922",0," vaksin sinovac unmul tanggal oktober syarat jadwal cp cek foto link …","Netral"," vaksin sinovac unmul tanggal oktober syarat jadwal cp cek foto link …"
"923",-1," rasah kokean ngece asline aku ki kuat tapi bar vaksin sinovac kekuatanku ilang ","Negatif"," rasah kokean ngece asline aku ki kuat tapi bar vaksin sinovac kekuatanku ilang "
"924",0," produk sinovac adalah jenis vaksin covid kedua yang diluluskan kerajaan malaysia untuk penggunaan bagi golongan…","Netral"," produk sinovac adalah jenis vaksin covid kedua yang diluluskan kerajaan malaysia untuk penggunaan bagi golongan…"
"926",1," aku vaksin sinovac alhamdulillah setelahnya tidak ada gejala cuma laper terussssss","Positif"," aku vaksin sinovac alhamdulillah setelahnya tidak ada gejala cuma laper terussssss"
"927",-1," temenn gua asma di vaksin sinovac","Negatif"," temenn gua asma di vaksin sinovac"
"928",0,"informasi dong vaksin kedua sinovac bekasi timur ","Netral","informasi dong vaksin kedua sinovac bekasi timur "
"930",1,"pelaksanaan vaksinasi serentak tahap vaksin sinovac yang dilaksanakan di polsek rambutan kecamatan rambutan kota te… ","Positif","pelaksanaan vaksinasi serentak tahap vaksin sinovac yang dilaksanakan di polsek rambutan kecamatan rambutan kota te… "
"931",-1,"yb macam mana nak request untuk second dose sinovac saya kontak rapat haritu so saya kansel appointment sec d… ","Negatif","yb macam mana nak request untuk second dose sinovac saya kontak rapat haritu so saya kansel appointment sec d… "
"932",1,"pelaksanaan gerai vaksinasi presisi tahap vaksin sinovac yang dilaksanakan di polsek rambutan kecamatan rambutan kota… ","Positif","pelaksanaan gerai vaksinasi presisi tahap vaksin sinovac yang dilaksanakan di polsek rambutan kecamatan rambutan kota… "
"933",0,"sdf informasi vaksin sinovac dosis rek gawe mene atau minggu depan","Netral","sdf informasi vaksin sinovac dosis rek gawe mene atau minggu depan"
"934",0," nenekku punya hipeensi seminggu sebelum vaksin minum obat ht nya teratur sama pola ma… ","Netral"," nenekku punya hipeensi seminggu sebelum vaksin minum obat ht nya teratur sama pola ma… "
"935",0," aduh vaksin aku masih sinovac ","Netral"," aduh vaksin aku masih sinovac "
"936",0,"wuahahaahah ternyata yang peama dulu aku vaksin moderna wkwkwkwk kirain sinovac ","Netral","wuahahaahah ternyata yang peama dulu aku vaksin moderna wkwkwkwk kirain sinovac "
"937",-1,"rasah kakean cangkemasline aku iki ultramentapi bar vaksin sinovac kekuat an ku ilang","Negatif","rasah kakean cangkemasline aku iki ultramentapi bar vaksin sinovac kekuat an ku ilang"
"938",0,"sabtu tanggal oktober babinsa koramil kms serda baiwa bakri melaksanakan kegiatan pendampingan dan pengaw… ","Netral","sabtu tanggal oktober babinsa koramil kms serda baiwa bakri melaksanakan kegiatan pendampingan dan pengaw… "
"939",0,"rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne d","Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne d"
"940",1,"wakil walikota banjarmasin h arifin noor meninjau program vaksinasi covid di sama negeri bjm vaksinasi pada h… ","Positif","wakil walikota banjarmasin h arifin noor meninjau program vaksinasi covid di sama negeri bjm vaksinasi pada h… "
"942",2,"malaysia akhirnya mengikuti langkah indonesia dengan memberikan persetujuan bersyarat untuk pemberian vaksin covid… ","Positif","malaysia akhirnya mengikuti langkah indonesia dengan memberikan persetujuan bersyarat untuk pemberian vaksin covid… "
"943",1,"penyaluran vaksin atas perjuangan perwakilan fraksi paai golkar di komisi vii dpr republik indonesia mukhtarudin membantu progr… ","Positif","penyaluran vaksin atas perjuangan perwakilan fraksi paai golkar di komisi vii dpr republik indonesia mukhtarudin membantu progr… "
"945",-1,"vaksin massal dosis sinovac di royal plaza surabaya oktober sedia dosis tanpa surat domisili ","Negatif","vaksin massal dosis sinovac di royal plaza surabaya oktober sedia dosis tanpa surat domisili "
"946",1," alhamdulillah sudah vaksin selesai dengan dosis sinovac dapat dosis bener² war sold dalam menit karena antu…","Positif"," alhamdulillah sudah vaksin selesai dengan dosis sinovac dapat dosis bener² war sold dalam menit karena antu…"
"947",-2,"aku ki asline iron man tapi bar vaksin sinovac kekuatanku ilang makane dadi rapuh kek ngeneki","Negatif","aku ki asline iron man tapi bar vaksin sinovac kekuatanku ilang makane dadi rapuh kek ngeneki"
"948",0,"aku asline powerrangger abang kacek e saiki rodok mlesek mergo bar vaksin sinovac","Netral","aku asline powerrangger abang kacek e saiki rodok mlesek mergo bar vaksin sinovac"
"950",0," aslinya dari pabrik vaksin kadaluarsa bulan tapi ijin darurat bpom data stabilitas yang ada…","Netral"," aslinya dari pabrik vaksin kadaluarsa bulan tapi ijin darurat bpom data stabilitas yang ada…"
"951",0," aku ada asma vaksin pakai sinovac sihh sudah kali","Netral"," aku ada asma vaksin pakai sinovac sihh sudah kali"
"952",1,"vaksin astrazeneca vaksin sinovac besoknya jadi titan","Positif","vaksin astrazeneca vaksin sinovac besoknya jadi titan"
"953",0,"vaksin sinovac unmul tanggal oktober syarat jadwal cp cek foto link ","Netral","vaksin sinovac unmul tanggal oktober syarat jadwal cp cek foto link "
