"","X","klasifikasi","x"
"670",194,"Positif","informasi jadwal vaksin stadion pakansari bogor sedia astrazeneca moderna sinovac"
"671",1054,"Positif","vaksin nusantara nobuka pabrik vaksin sinovac laku ketua tim cinta produk indonesia"
"672",118,"Negatif","vaksin sinovac sinopharm tugas sinopharm udah bawa puskesmas sinovac"
"673",1147,"Netral","kkm lulus syarat guna vaksin coronavac keluar sinovac remaja"
"674",592,"Negatif","asline powerrenjes mergo bar vaksin sinovac kuat ilang"
"675",252,"Netral","jadwal daftar pesea vaksin sinovac polres magelang"
"676",1085,"Positif","jog informasi vaksin dosis bebas tidak domisili tidak masalahin vaksin mana sinovac"
"677",77,"Positif","negara terima datang vaksin sinovac banyak negara l"
"678",830,"Negatif","asline iki ultramentapi bar vaksin sinovac kuat ilang"
"679",1232,"Netral","vaksin keluar sinovac lulus remaja"
"680",695,"Negatif","sinovac tidak laku roman sang juragan nakutin dunia pakai isu mutasi varian huahahaha"
"681",1116,"Negatif","vaksin varian sinovac ngerasa"
"682",486,"Netral","anak vaksin lengkap sinovac vaksin pfizer moderna penuh syarat s"
"683",926,"Positif","vaksin sinovac alhamdulillah telah tidak gejala laper terussssss"
"684",539,"Netral","kalausinovac vaksin booster"
"685",249,"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm p"
"686",1107,"Positif","vaksin pulih nusantara validasi sinovac who bukti vaksin aman ruji mutu"
"687",708,"Negatif","informasi vaksin dosis sinovac malang kota terimakasih"
"688",172,"Netral","distribusi vaksin sinovac kawal babinsa"
"689",559,"Positif","jenis vaksin stasiun cirebon sinovac kak trims"
"690",1170,"Netral","kkm lulus vaksin sinovac remaja"
"691",1461,"Netral","anggota polsek turi pimpin ipda j edy s puskes"
"692",4,"Positif","informasi vaksin gratis kota palangkaraya kalimantan sinovac kurio"
"693",1337,"Netral","hubung banyak seifikat orang indonesia cantum merk dagang vaksin sinovac coronava"
"694",1038,"Netral","tidak cuman apa jenis vaksin nya kek nya gejala efek nya nya"
"695",810,"Netral","sok gamau vaksin pakai sinovac mau moderna pfizer puskesmas jangan a"
"696",446,"Positif","buka daftar vaksinasi galeri as studio hanafi periode jenis vaks"
"697",335,"Positif","efektif sinovac guru guru jakaa vaksin booster"
"698",629,"Positif","vaksinasi lur silah sederek teman keluarga belum vaksin buka daftar vaksinasi sinovac k"
"699",937,"Negatif","rasah kakean cangkemasline iki ultramentapi bar vaksin sinovac kuat an ku ilang"
"700",804,"Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ku ilang"
"701",1453,"Netral","tidak tanggungtanggung dosis vaksin sinovac sebar antero ngawi titik siap"
"702",262,"Netral","rasah kakehan cangkem asline ki ultramentapi bar vaksin sinovackekuatanku ilang"
"703",1424,"Positif","ayo ayo belum vaksin vaksin pfizer dosis sinovac dosis tol jagorawi rest area"
"704",1409,"Negatif","vaksin dapet moderna sinovac yah iya takut mati sih h tidak banget"
"705",515,"Positif","indonesia vaksin emergency use listing terbit who pe"
"706",647,"Positif","periode tambah vaksin moderna lengkap vaksin sinovac astrazeneca"
"707",1420,"Netral","informasi vaksin sinovac daerah jakaa timur tolong"
"708",36,"Negatif","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat kik"
"709",400,"Positif","belum vaksin jenis vaksin sinovac"
"710",1236,"Negatif","vaksin moderna takut after effectsnya sinovac kali"
"711",22,"Positif","dosis sinovac mulaitahun ktpdomisili bebas khusus pesea syarat vaksin sin"
"712",460,"Positif","sinovac lum vaksin cepat baik nder ajaa vaksin ajaa vaksin"
"713",861,"Netral","udah vaksin sinovac kena kopid kak"
"714",149,"Positif","informasi vaksin bekas puskemas margajaya sebelah adil agama vaksin pfizer dosis sinovac d"
"715",501,"Netral","besok vaksin ktp kabupaten bandung stadion jalak harupat gaiss dosis pakai sinovac"
"716",1109,"Positif","jamin halal vaksin sinovac"
"717",1300,"Negatif","bingungin kalauvaksin sinovac china buat virus covid dimatikanberai"
"718",981,"Negatif","siapsiap umrah jangan lupa vaksin jangan sinovac arab produk cina arab saudi longgar"
"719",1117,"Negatif","aikel popular arwah abam tinggal dunia gadis"
"720",1437,"Netral","vaksin sinovac tgn kiri pegal doang"
"721",806,"Netral","kalaumall udah rame siapsiap panen covid pas lindung vaksin selesai sinovac setel"
"722",1068,"Netral","informasi jadwal vaksin serpong kota tangerang dosis sinovac"
"723",413,"Netral","patroli personil polsek jabiren raya cek aman vaksin sinovac"
"724",1484,"Netral","en"
"725",1468,"Positif","warga kota slawi antusias suntik vaksin sinovac dosis puskesmas slawi kabupaten"
"726",867,"Netral","siswa smk yapisda ikut vaksin sinovac danramil cisoka kapten inf jefriansen sipayung proses"
"727",1032,"Netral","eh nek awak due informasi vaksin sinovac dosis kabar tulungg makasoyy"
"728",1180,"Netral","kkm lulus guna vaksin coronavac keluar sinovac life sciences co ltd china golong usia terminal"
"729",522,"Netral","olohh hahahhaah bangsa astrazeneca pfizer sinovac hurm skrng vaksin bangsa"
"730",200,"Positif","informasi vaksin dosis belum vaksinasi gerai vaksinasi polres gunungkidul buka pe"
"731",1386,"Positif","laksana giat pam suntik vaksin vaksin jenis merek vaksin sinovac uptd puskesmas rantau"
"732",681,"Negatif","majoritas guna sinovac keluh banget sih kota mayoritas sino"
"733",949,"Positif","australia buka perbatasanpenerbangan internasional vaksin sinovac masuk oz kabar baik bua"
"734",837,"Positif","ayo daftar jadwal vaksin gratis cikarang dosis sinovac sgc a informasi"
"735",523,"Positif","teman mohon informasi ibu butuh vaksin vaksin ama sinovac perintah do"
"736",979,"Negatif","btull bapack ku takut sakit paruparu vaksin sinovac"
"737",985,"Netral","eh vaksin sinovac tahanya"
"738",912,"Netral","sinovac vaksin sekolah"
"739",1041,"Netral","iyaaa sinovac kabar dapet vaksin booster kal"
"740",270,"Negatif","pakai sinovac vaksin ama pegal banget vaksin pegal dosis"
"741",801,"Negatif","tipu la korang benda bukan flex takde tu auto orang lari beb credit"
"742",1381,"Positif","akibat amuk wargaterjadi rusak posko gerai vaksin vial vaksin dosis v"
"743",1359,"Netral","tt huhuuu thanks vaksin sinovac"
"744",350,"Netral","warga ikut vaksin pfizer sinovac puskesmas wanasari"
"745",614,"Negatif","so aussie benar lancong lengkap vaksin sinovac azyang hang iya nak anjing pfizerian nah pulak"
"746",1204,"Netral","ketua arah kesihatan tan sri noor hisham abdullah perkara dipersetujui mesyuarat"
"747",1401,"Positif","kapolres brebes akbp faisal febrianto damping pju polres brebes tinjau gerai vaksinasi presisi do"
"748",444,"Netral","informasi daftar vaksinasi covid poliklinik vaksin rsud kelet layan vaksinasi covid sinovac a"
"749",402,"Netral","heh informasi vaksin sinovac dosis ning kabupatenkota madiun slur"
"750",553,"Negatif","informasi jadwal vaksin covid pfizer sinovac dosis kota bogor puri begawan"
"751",966,"Netral","asline ultramen due kuat mbuh nopo bar vaksin sinovac kuat nerf entek an"
"752",87,"Positif","team vaksinator satbrimob polda kalsel gelar serbu vaksin presisi pondok pesantren wali"
"753",1446,"Negatif","pemerintah aljazair produksi vaksin covid kembang usaha tiongkok sinovac kapasitas"
"754",847,"Positif","hayo takut vaksin maju mundur cantik baca deh curhatan efek vaksi"
"755",952,"Positif","vaksin astrazeneca vaksin sinovac besok titan"
"756",231,"Negatif","sinovac pemerintah datang vaksin covid pfizer astrazeneca jalur komersial"
"757",1201,"Positif","belum vaksin dosis dosis lewat dosis sinovac astrazeneca zeneca t"
"758",991,"Negatif","salah vaksinpeama prizer sinovac lupa beneran wow yallah gabakal mokad"
"759",517,"Negatif","ohh sinovac temen sinovac doang tidak demam vaksin"
"760",150,"Positif","informasi vaksin bekas pos polsek medan satria nas sehat lurus smp vaksin"
"761",1123,"Negatif","deket rumah gapapa nder kalaukm sinovac vaksin kalauvariannya gapapa"
"762",1087,"Positif","otw vaksin alhamdulillah tidak jadi ayo belum vaksin vak"
"763",375,"Positif","belum vaksin jenis vaksin sinovac"
"764",50,"Positif","besok vaksin sinovac dosis ktp bebas syarat dosis sinovac"
"765",298,"Netral","vaksin sinovac kyknya orang beda efek tante vaksin astrazeneca malemnya meriang"
"766",465,"Netral","anggota koramil kaligesing kodim purworejo serma wahyudi laksana monitorng beri vaksin sinovac"
"767",1199,"Netral","ketua arah kesihatan tan sri noor hisham abdullah perkara dipersetujui mesyuarat kuasa k"
"768",106,"Netral","vaksinasi covid dosis laksana keluarga gawai lingkung sekretariat jenderal kpu"
"769",1254,"Positif","vaksin kelulus syarat lepas guna cominay keluar pfizerbiontech"
"770",975,"Negatif","rasah kakean cangkemasline ki superman wing bar vaksin sinovac kuat ilang"
"771",958,"Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas hany"
"772",750,"Netral","oxford astrazeneca pfizer biontech moderna janssen kayak sinovac mesti udah vaksin boos"
"773",971,"Positif","oooogitu yaaakirain halodoc kasih jadwal nya malam nya daftar"
"774",641,"Netral","efek vaksin sinovac ancen ngantukluwe an a iki"
"775",1258,"Negatif","informasi vaksin covid massal bogor camat tanjungsari pakai sinovac pfizer"
"776",1370,"Netral","vaksin gtlt sinovac astrazeneca"
"777",702,"Netral","informasi vaksin dosis sinovac rek bangsalsari terimakasiii jbrfess"
"778",976,"Netral","sinovac vaksin"
"779",683,"Positif","alhamdulillah vaksin sinovac harap moga vaksin"
"780",983,"Positif","kakakkakak ku asma kak and alhamdulillah sudahhvaksin dapat"
"781",1088,"Positif","mjb tau ku kalaukita vaksin pergi ln vaksin indonesia tidak list ne"
"782",230,"Netral","pangkoarmada i tni pantau serbu dosis vaksin sinovac kabupaten pasuruan"
"783",603,"Positif","na vaksin pakai sinovac emng vaksin lgi pakai astrazeneca"
"784",483,"Netral","vaksin sinovac berai kudu nyari informasi vaksin tiga"
"785",366,"Negatif","isteri covid lepas terima dosis sinovac bulan b"
"786",516,"Negatif","juta kali sinovac rupiah murah sinovac juta warga bayar vaksin boos"
"787",990,"Netral","lha ktp ku semarang vaksin nag sidoarjo jatim yo iso ik sinovac"
"788",412,"Netral","vaksin selamat remaja bapa risau yakin anakanak k"
"789",458,"Positif","vaksin sinovac selamat kanakkanak"
"790",715,"Netral","sinovac hbu vaksin"
"791",1249,"Positif","guna vaksin keluar kalangan usia utama kepa"
"792",652,"Positif","cari vaksin pfizer depok vaksin astrasinovac rsui daftar via web"
"793",866,"Positif","gelombang tiga profit taking vaksin bayar tidak gratis sinovac rb murah banding mo"
"794",734,"Netral","informasi tidak vaksin dosis sinovac daerah cipondoh"
"795",1393,"Netral","vaksin ama moderna puskesmas lubuk kilang sinovac"
"796",280,"Positif","kota bantu ribu vaksin kota terima bantu"
"797",128,"Netral","impoir vaksin sinovac"
"798",1441,"Positif","pesea sehat sintas gejala ringan minimal nyata sembuh belum pe"
"799",57,"Positif","besok vaksin sinovac dosis ktp bebas syarat dosis sin"
"800",1097,"Netral","ayo besok vaksin du jenis vaksin sinovac pfizer informasi lengkap kontak yodi cc"
"801",207,"Positif","iya negara teentu tidak terima turis vaksin sinovac jenis jenis variasi vaks"
"802",495,"Netral","vaksin sinovac koramil tangerang bawa copy ktp pagisiang"
"803",1445,"Positif","vaksin pantiwiloso vaksin sama sinovac"
"804",834,"Positif","ayo hadir gerai vaksin tni polri laksana"
"805",1178,"Netral","raja lulus vaksin sinovac remaja"
"806",1379,"Positif","horas medan urus daerah ikat alumni itb sumatera utara sentra vaksin bumn gelar laksana vak"
"807",27,"Positif","vaksin sinovac aman"
"808",1047,"Positif","vaksin dspetnya sinovac pupu astrazeneca"
"809",430,"Positif","addition ditmpt tdi vaksin moderna sinovac vaksin moderna kasi paracetamol tpi"
"810",1294,"Positif","sing vaksin e moderna dipadakne gendaanmu sing vaksin e gur sinovac yo tidak mlipir no sayang xixi"
"811",778,"Netral","jenis vaksin sinovac buka usia sintas covid tel"
"812",835,"Positif","ayo hadir gerai vaksin tni polri laksana"
"813",599,"Netral","benar hadir majlis surau masjid teakluk lengkap terima dosis"
"814",832,"Negatif","sekedar butuh seifikat pakai sinovac tidak percaya vaksin ribet m"
"815",1387,"Positif","validasi sinovac who bukti vaksin aman ruji mutu"
"816",65,"Netral","jog jadwal vaksin sinovac siloam"
"817",171,"Positif","jenis vaksin sinovac moderna jenis vaksin bukti aman bantu kebal tubuh"
"818",1466,"Netral","oohh nama vaksin pakai astrazeneca sinovac"
"819",1310,"Negatif","kalauaku kmren dosis sinovac pegal ayo rada pusing abs vaksin langsung tidak"
"820",1090,"Netral","alami reaksi pemantauan b"
"821",1008,"Negatif","sinovac tidak sakit tipe orang udah vaksin beda sih"
"822",1412,"Positif","raja bangun pelan strategik bangun vaksin negara umum perdana menteri"
"823",534,"Negatif","bahan utama vaksin sinovac dna babi serum bayi belum lahir hidup sedot bay"
"824",1296,"Netral","kalauseifnya vaksin sinovac coba ngechat engkoh bantu nder"
"825",185,"Negatif","bingung vaksin sinovac astrazeneca enak"
"826",732,"Positif","suasana vaksinasi selenggara ika universitas airlangga selenggara vaksina"
"827",34,"Positif","astrazeneca vaksin pakai pfizer kalaudi indonesia tidak sih sinovac"
"828",129,"Netral","yaallah nonton konser vaksin sinovac"
"829",551,"Netral","vaksin sinovac tidak ln yakali vaksin ulang"
"830",839,"Netral","sayup dengar obrol buskrg vaksin sinovac tidak dgnti astrazeneca vaganza astrazeneca vaganza"
"831",1444,"Netral","jadwal vaksin covid kota cirebon sedia dosis sinovac"
"832",895,"Negatif","asline iki ultramen tpi mari vaksin sinovac kuat ilang v"
"833",282,"Netral","nemu vaksin sinovac dosis"
"834",993,"Positif","punten na vaksin ama vaksin beda kalausemisal vaksin ama sinovac tru"
"835",1113,"Netral","tidak efek nya sih pusing gara lapar kaya vaksin sinovac ngomong ngomong"
"836",14,"Netral","vaksin jenis sinovac pfizer langsung dateng rskh jatiasih temen"
"837",1384,"Positif","ayo hadir gerai vaksin tnipolri dilakskan"
"838",399,"Negatif","alergi berat hipeensi kolesterol alhamdulillah vaksin sinovac lengkap baik sam"
"839",462,"Positif","apresiasi antusiasme masyarakat vaksin presiden joko widodo tinjau laksana vaksin massal sorong"
"840",1051,"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin pulih bangsa"
"841",808,"Positif","suasana vaksinasi selenggara ika universitas airlangga selenggara"
"842",994,"Positif","semangat banget kak iya yapantes hindarin sinovac negri"
"843",317,"Negatif","duh bokap nyokap pakai sinovac pas kena covid otg tidak gejala temen pakai astrazeneca"
"844",729,"Negatif","cansino sputnik v indonesia jenis pfizer moderna johnson astrazeneca sinovac sinopharm beijing cansino sput"
"845",24,"Positif","malaysia terima bekal ama vaksin coronavac liter hantar k"
"846",1101,"Netral","asli dar"
"847",987,"Positif","vaksin sinovac aku warga indonesia masuk australia"
"848",1188,"Negatif","remaja usia benar ambil vaksin jenis sinovac lepas kelulus kkm"
"849",440,"Negatif","langsung rumah sakit layan vaksin kak emang datang biar d"
"850",1193,"Positif","walah sby kota moga dapet deh yak pas vaksin pakai pfizer"
"851",90,"Positif","alhamdulillah rumah vaksin abah pfizer kakak istri astrazeneca me sinovac sehat"
"852",105,"Positif","goh bak na taman sin far ipoh bawa ppv hospital pakar komuniti ipoh selamat terima suntik dosis ama vaksin"
"853",97,"Netral","sd selesai beempat namang laksana p"
"854",676,"Netral","temen ku vaksin pfizer rata efek samping nya kayak sinovac doang bestie tidak imun terminal"
"855",338,"Positif","layan vaksinasi vaksin sinovac dosis dosis kuo"
"856",934,"Netral","nenek hipeensi minggu vaksin minum obat ht nya atur pola ma"
"857",393,"Netral","informasi vaksin sinovac fase area pasuruan kota"
"858",704,"Negatif","vaksin covid bogor massal puskesmas kemang pakai sinovac masyarakat"
"859",954,"Negatif","kumpul rumah bibi eh nyombongin vaksin sinovac moderna pfizer celetuk"
"860",408,"Positif","vaksin jadwal camat ku belum rsud"
"861",55,"Positif","dosis sinovac mulaitahun ktpdomisili bebas khusus pesea syarat vaksin"
"862",1473,"Positif","vaksin pakai pfizer moderna efek pakai sinovac astrazeneca ndak"
"863",62,"Netral","dokter bilang vaksin sinovac nya maju mundur"
"864",215,"Netral","jenis vaksin astrazeneca sinovac"
"865",1052,"Negatif","nyobain astrazeneca kali astrazeneca kali pfizer vaksin sinovac kali sinovac kali moderna"
"866",1262,"Positif","buka kak syarat pei vaksin"
"867",1411,"Positif","angkat tang sengaja nungguin vaksin pfizer timbang sinovac astrazeneca kabar vaksi"
"868",438,"Negatif","haha iyaa its okey kayak sinovac teknis kak baiklahh huhu"
"869",1142,"Negatif","am china sumbang juta dosis vaksin sinovac malaysia read more"
"870",601,"Netral","keluarga beda merk vaksin sinovac adek pfizer astrazeneca kakak modern"
"871",244,"Positif","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sinovac"
"872",920,"Netral","bgr informasi vaksin sinovac besok tidak dosis makasii"
"873",892,"Netral","raja china bersetuju derma tambah juta dosis tambah ribu sudah"
"874",18,"Netral","proses manfaat vaksin sinovac lawan palsu vaksin"
"875",609,"Netral","pahit manis ppv integrasi idcc shah alam beri vaksinasi samada vaksin"
"876",876,"Netral","vaksin covid sinovac buat tiongkok remaja usia lengkap"
"877",1012,"Netral","kalauvaksin ama sinovac vaksin pfizer tidak"
"878",1314,"Positif","mnku sinovacpfizer vaksin sih"
"879",318,"Positif","anggota polsek babelan laksana giat aman giat vaksinasi merdeka berani dosis selenggara"
"880",351,"Positif","teliti booster vaksin pfizer bukti manjur sinovac"
"881",224,"Positif","mjb kalauudah vaksin sinovac kali vaksin booster vaksin sinovac"
"882",818,"Negatif","jog tidak sih ambil vaksin sinovac tidak gejala apa sakit pegal enggasumpah enak banget dik"
"883",798,"Positif","jenis vaksin sih bagus hallo sobat ksr uns ramai bincang jenis vaksin bagus"
"884",1368,"Netral","visa on arrival tidak nerima pakai vaksin sinovac fuck"
"885",356,"Netral","angka efikasi sinovac peran wave junijuli kontra vaksi"
"886",493,"Positif","faktor vaksin distribusi cepat pei hal sinovac bukan adu"
"887",785,"Negatif","ribu dosis vaksin sinovac buang siasia aceh tenggara garagara warga"
"888",299,"Netral","pakai vaksin tugw alergi parah kek kiriruam gatel banget kek kanan tidak bn"
"889",1358,"Netral","smp neger kaliwungu vaksinasi rentak pesea didik tonton video jangan lupa subscribe like com"
"890",755,"Positif","aaa bangga salah vaccinator vaksin pfizersinovac astrazeneca selamat mesti"
"891",54,"Positif","ayo vaksin"
"892",600,"Negatif","kalausinovac gaboleh ln astrazeneca moderna parah banget efek yasuda pfizer winwin solutionnya"
"893",1035,"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin pulih indonesia"
"894",941,"Netral","asline dekar cuman bar vaksin sinovac dadi jurus reset kabeh"
"895",1266,"Netral","w sinovac vaksin beda bedaa"
"896",552,"Netral","vaksin astrazeneca zeneca ou sinovac ou tidak efek samping samsek efek samping"
"897",1183,"Netral","vaksin pfizer sinovac bagus"
"898",94,"Netral","umum vaksinasi dosis sinovac laksana puskesmas pakis ditund"
"899",1372,"Netral","ajar ajibata parsoburan dapat vaksin sinovac dosis i"
"900",286,"Positif","vaksin bluetooth suppo tidak vaksin afiliasi bluetooth astrazeneca pfizer moderna kecuali"
"901",813,"Positif","sbb sekolah nak bukak vaksin pfizer nak vaksin sinovac taknak pfizer pastu sis ka"
"902",115,"Positif","goh bak na tinggal taman sin far bawa pusat beri vaksin ppv hospital pakar komu"
"903",1182,"Netral","copid tidak jrx vaksin sinovac"
"904",1002,"Positif","alhamdulillah mama vaksin random lgsg telpon mama suruh vaksin doi lgsg puskes dekat"
"905",518,"Netral","bep vaksin moderna sinovac"
"906",221,"Positif","vaksin sinovac halal"
"907",152,"Netral","ais kasih vaksin kebal koped kalaulisa mah pakenya sinovac lisa doang larang"
"908",1361,"Netral","bhabinkamtibmas kalurahan ngawu bripka prima back up kanit provost aiptu parjiman sambang monitoring aksa"
"909",564,"Netral","villagers in aceh indonesia refuse the vaccine and destroy the vaccination centre warga aceh ngamuk vaksinat"
"910",1286,"Positif","jog informasi vaksin sinovac dosis udah vaksin dosis jogja gaes makasih banget"
"911",996,"Netral","therapeutic goods administration vaksin sinovac astrazeneca masuk daftar vaksin covid"
"912",571,"Positif","pharmaniaga bhd jamin bapa bahawa vaksin covid sinovac kanakkanak remaja"
"913",331,"Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru st"
"914",447,"Netral","informasi link daftar jadwal vaksin dosis jenis pfizer sinovac bogor"
"915",1297,"Positif","vaksin dapat sih sinovac efek tidak ngerasai apa kek o"
"916",684,"Positif","just informasi teman vaksin atur mana i vaksin nya jangan"
"917",1203,"Negatif","informasi vaksin covid bogor sinovac dosis puskesmas nanggung"
"918",1156,"Netral","pokok jarak vaksin sinovac astrazeneca"
"919",1365,"Netral","informasi vaksin dosis jenis sinovac daerah tegal"
"920",51,"Positif","bhabinkamtibmas kalurahan bleberan bripka suparyanta monitoring vaksinasi warga kalurahan bina upt puskesmas i"
"921",389,"Negatif","nama vaksin kek sinovac astrazeneca"
"922",485,"Negatif","iyayak indonesia tu mas kebnayakan sinovac astrazeneca moderna pfizer jarang"
"923",1059,"Positif","jenis vaksin i tau ku vaksin sinovac sakit"
"924",536,"Positif","uwong uwong ki ngopo le vaksin milih milih sing sinovac ngene loh astrea"
"925",205,"Negatif","orang astrazeneca ngrasa superior sih tolong be kind people jangan orang sinovac"
"926",1244,"Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan"
"927",664,"Positif","ihh asli en vaksin sinovac tidak mana abis paksa moderna butuh"
"928",1186,"Netral","umur tau udah vaksin kali tinggal"
"929",700,"Negatif","vaksin covid bogor massal puskesmas kemang pakai sinovac dosis"
"930",197,"Netral","wal vaksin coronavac samakh sinovac"
"931",726,"Positif","alhamdulillah kali vaksin sinovac tidak efek sih kalaumodernaastrazeneca kayak lumaya"
"932",1430,"Netral","beneran apes deh kyknya vaksin sekolah dapet sinovac"
"933",1399,"Positif","anggota koramil swl serda nuryadi laksana damping giat vaksinasi covid"
"934",769,"Netral","vaksin dosis sinovac huhu tt"
"935",1464,"Negatif","banget pas vaksin ama pakai sinovac"
"936",742,"Netral","habis vaksin dosis lupa na tenaga medis sih udah na s"
"937",556,"Negatif","ora le lemah i jane ultramen bar suntik vaksin sinovac kuat ilang"
"938",386,"Positif","vaksin vaksin sinovac vaksin vaksin jenis naikin lengan baju"
"939",762,"Positif","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca"
"940",917,"Positif","pesea dosis lebih terima dosis sinovaccoronavac pasti bawa kau vaksin"
"941",644,"Netral","kapolsek kanit bimas kanit intel bhabinkamtibmas polsek srandakan bintara trecer polsek srandakan monitoring"
"942",984,"Negatif","siapsiap umrah jangan lupa vaksin jangan sinovac arab produk cina arab saudi long"
"943",752,"Negatif","bahhh berai vaksin sinovac berlaku takut pas tolak edar kabar vaksin sinovac tidak"
"944",222,"Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandung l"
"945",1125,"Positif","sih ribet vaksin sih selaen vaksin covid dibombardis vaksin bcg kali kali campak"
"946",1392,"Netral","beda vaksin sinovac astrazeneca"
"947",310,"Netral","vaksin nder sinovac as kalausinovac jarak kalauastrazeneca jarak"
"948",1120,"Netral","ltinfo vaksin dinkes kota tegalgt sinopharm moderna dosis sinovac dosis"
"949",481,"Netral","efek dirasain vaksin klau moderna sinovac sih"
"950",831,"Positif","tim riset indonesia adakan teliti sampel manusia vaksin vaksi"
"951",1238,"Positif","tu janji budak sekolah nak vaksin dghisham cakap remaja"
"952",646,"Netral","indonesia terima datang vaksin covid juta dosis vaksin sinovac"
"953",782,"Negatif","asline ki ultramen bar vaksin sinovac kuat ilang"
"954",988,"Positif","dosis vaksin sinovac laksana vaksin covid pmi kabupaten sragen"
"955",1261,"Positif","kini bersetuju kelulus syarat guna vaksin keluar sinovac lif"
"956",1344,"Negatif","china sumbang juta dosis vaksin covid coronavac sinovac tambah malaysia dasar persaha"
"957",865,"Negatif","mbak demam lemes nyuruh nyuruh aku capek gilir vaksin dapet sinovac alhamduli"
"958",330,"Negatif","tidak vaksin ama astrazeneca sinovac trauma banget abis vaksin astrazeneca rada nyiksa"
"959",98,"Netral","cak ayo vaksin sinovac dosis ndek gressmall ikut vaksin ama sinovac ta a"
"960",76,"Negatif","jadwal vaksin covid tangerang selatan jenis sinovac dosis"
"961",883,"Netral","sinovac taon sesuk vaksin neh"
"962",1021,"Negatif","nitip kalauada informasi vaksin dosis sinovac kitar sukamulya tidak domisi"
"963",932,"Positif","laksana gerai vaksinasi presisi tahap vaksin sinovac laksana polsek rambutan camat rambutan kota"
"964",612,"Positif","ohhh lokasi nya belum coba deh na terkahir vaksin"
"965",693,"Netral","tementemen informasi vaksin sinovac kalauada infoin yakk bantu temen nyariin soale"
"966",619,"Positif","zen catat surat keteranganp dokter tidak terima vaksin sinovac astrazeneca"
"967",758,"Netral","batuk udah bulan dalam vaksin sinovac nder tawa"
"968",1352,"Negatif","china sumbang vaksin sinovac malaysia"
"969",471,"Positif","tidak nder ngulang vaksin kalauvaksinnya sinovac jrk vaksin k"
"970",435,"Positif","vaksin jenis graph sibu case spike vaksin jenis sinovac didn"
"971",1153,"Positif","ndes vaksin ama vaksin langsung auditorium unnes sekar jenis v"
"972",161,"Positif","sinovac bukan vaksin dosis pegal banget tang vaksin ama tidak pegal"
"973",337,"Positif","efektif sinovac guru guru jakaa vaksin booster unt"
"974",2,"Netral","vaksin sinovac vaksin indonesia lawan palsu vaksin"
"975",95,"Negatif","informasi vaksin malang dosis sinovac makasih komen gkb"
"976",587,"Negatif","vaksin sinovac kepala pusing banget"
"977",372,"Netral","pahit manis ppv integrasi idcc shah alam beri vaksinasi"
"978",878,"Positif","hitung sentra vaksinasi l jakaa layan beri vaksin dosis jenis"
"979",1479,"Positif","buka daftar vaksinasi depok periode jenis vaksin sin"
"980",272,"Positif","iya awal vaksin dpet nya sinovac menu makan pilih pi"
"981",851,"Positif","yth segenap warga ngestiharjo saudara warga domisili ngestiharjo belum vaksinasi covid kuti"
"982",15,"Positif","suntik vaksin sinovac sekolah alhamdulillah sehat pei hadeh orang"
"983",218,"Netral","mu kontaminasi kandung vaksin bahaya nyawa manusia tinggal akibat vaksin mas"
"984",1417,"Positif","klinik udah tidak ngelayanin vaksin cari informasi vaksin pmi deket sinova"
"985",1270,"Negatif","syarat vaksin covid bogor sinovac puskesmas cangkurawok besok cek info"
"986",698,"Positif","vaksin sinovac dosis pulang bawa sembako gratis royal plaza ktp indonesia"
"987",573,"Netral","vaksin covid lupa baca biofarm produks"
"988",314,"Netral","wal bevaksin kali vaksin ama tu sinovac dasar astrazeneca kah s"
"989",354,"Positif","informasi vaksinasi setiajaya toyota cimanggis depok periode jenis vaksin"
"990",1309,"Negatif","istri vaksin ama covid sinovac dokumentasi video youtube s"
"991",124,"Netral","sdf rek informasi vaksin dosis sinovac area waru"
"992",1065,"Netral","kkm lulus syarat guna vaksin coronavac keluar sinovac remaja"
"993",1190,"Negatif","pbkd sar guna sinovac kalangan remaja usia utama"
"994",977,"Positif","putus lepas awal selia ubat negara benar lancong ajar asing"
"995",677,"Netral","sinovac affa hotline informasi bagitau klinik vaksin teentu te"
"996",545,"Positif","vaksin sinovac selamat kanakkanak pharmaniaga"
"997",530,"Negatif","informasi vaksin sinovac dosis catat a jangan lupa bawa syarat"
"998",777,"Positif","mohon maaf istri vaksin sinovac thp d gor delta sidoarjo"
"999",1369,"Positif","halo sobat polri masyarakat ktp sekoharjo sapa belum vaksin klinik param"
"1000",379,"Positif","ayo baca daftar negara izin wisatawan vaksin sinovac indonesia tidak"
"1001",132,"Netral","vaksin sinovac senjata utama republik indonesia penangana pandemi karantina republik indonesia in"
