"klasifikasi","x"
"Netral","batuk udah bulan dalam vaksin sinovac nder tawa"
"Positif","sinovac walopun en vaksin kaya"
"Positif","informasi sedia vaksin sinovac desa jejalen kabbekasi"
"Netral","tidak vaksin ama sinovac"
"Positif","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca"
"Negatif","tambahin sebab demo thailand udah vaksin"
"Netral","vaksin sinovac telah positif covid sembuh"
"Netral","seifikat vaksin tidak tulis sinovac musti coronavac tidak diakuin"
"Positif","efektif sinovac guru guru vaksin booster"
"Negatif","anak belanda tidak vaksin sinovac xbukti autentik"
"Netral","vaksin atuh om jack kalaugini dapet sinovac massal a"
"Netral","vaksin dosis sinovac huhu tt"
"Negatif","juta kali sinovac rupiah murah sinovac juta warga bayar vaks"
"Netral","tu harap hak bg sinovac klau vaksin pilih"
"Negatif","sek vaksin e sinovac rausah sok keras ngene astreav"
"Netral","mosok biduren mergane vaksin sinovac"
"Positif","hallo warga taman sari sehat jadwal vaksin sinovac kantor rw mabes lapang ums"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang sil"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silah"
"Positif","mohon maaf istri vaksin sinovac thp d gor delta sidoarjo"
"Netral","jenis vaksin sinovac buka usia sintas covid tel"
"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang"
"Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ilang"
"Netral","sobat polri vaksin covid menteng adakan lurah menteng dosis vaksin sinovac astrazeneca zenecca"
"Negatif","asline ki ultramen bar vaksin sinovac kuat ilang"
"Negatif","daftar vaksin sinovac klinik polresta bandung silah klik link bawah"
"Netral","jatimulya puskesmas jatimulya vaksin sinovac pfizer dosis syarat ktp domisili jatimulya"
"Negatif","ribu dosis vaksin sinovac buang siasia aceh tenggara garagara warga"
"Negatif","daftar vaksin sinovac klinik polresta bandung silah klik link bawah"
"Positif","rahmad dorong vaksin jenis sinovac aku who"
"Netral","ayo vaksin moderna dosis astrazeneca dosis sinovac dosis biddokkes polda kepri"
"Positif","ayo vaksin sd selesai aula camat guntur kabupa"
"Netral","kak nis dapet vaksin sinovac"
"Positif","perlahan bukan vaksin astrazeneca rana kadar vaksin dosis ama lepas padar k"
"Netral","besok adaa jadwal vaksin covid jenis vaksin astrazeneca sinovac beempat puskesmas sukagum"
"Netral","situbondo gencar serbu vaksinasi covid dosis jenis vaksin sinovac astrazeneca kegiata"
"Netral","coba kaika husada kak doi vaksin vaksin sinovac pfizer wa"
"Positif","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia bawa foto"
"Netral","vaksin mung sinovac sok kemlinthi le"
"Positif","coba puskesmas nder vaksin daerah astraz sinovac bawa"
"Positif","jenis vaksin sih bagus hallo sobat ksr uns ramai bincang jenis vaksin bagus"
"Positif","pemerintah stok vaksin covid produsen vaksin beli pemerintah terminal"
"Netral","vaksin sinovac dosis salah informasi"
"Negatif","tipu la korang benda bukan flex takde tu auto orang lari beb credit"
"Netral","i complete dose vaksin sinovac then on ve that time my condition ge"
"Negatif","pas banget sinovac pas h suntik hahahihi eh minggu muncul"
"Negatif","rasah kakean cangkem asline ki ultramentapi bar vaksin sinovac kuat ku ilang"
"Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen beri boo"
"Netral","kalaumall udah rame siapsiap panen covid pas lindung vaksin selesai sinovac setel"
"Netral","bahan vaksin sinovac"
"Positif","suasana vaksinasi selenggara ika universitas airlangga selenggara"
"Positif","rengiat laksana vaksinasi wilayah camat tanggungharjo oktoberber"
"Netral","sok gamau vaksin pakai sinovac mau moderna pfizer puskesmas jangan a"
"Positif","pemerintah stok vaksin covid produsen vaksin beli pem"
"Negatif","jangan kakean cangkem asline ki turun prabu siliwangi bar vaksin sinovac kuat ilang"
"Positif","sbb sekolah nak bukak vaksin pfizer nak vaksin sinovac taknak pfizer pastu sis ka"
"Positif","studi turki vaksin booster pfizer hasil lindung sinovac"
"Positif","gratis tidak non sinovac kali vaksin aman kemanamana gratis kaum sinovac kali vaksin belum aman kemanam"
"Netral","tutup wkwk coba samping lombok abang cimuning tidak lombok abang pato"
"Netral","vaksin sinovac sih"
"Negatif","jog tidak sih ambil vaksin sinovac tidak gejala apa sakit pegal enggasumpah enak banget dik"
"Positif","perlahan bukan vaksin astrazeneca rana kadar vaksin dosis ama lepas me"
"Positif","tahu ane vaksin expirednya cepat pakai metode pfizer"
"Netral","cari vaksin booster ou sih mreka dapet sinovac bayar tidak deh"
"Negatif","kesan vaksin sinovac pfizer tanding lawan covid"
"Netral","tahan badan je awak amik pfizer takde effect langsung effect dem"
"Netral","vaksin plasebo heboh berita uap"
"Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen pember"
"Negatif","rausah kakean cangkem asline ki ultramantapi bar vaksin sinovac kuat ilang"
"Negatif","eddy yoshawirja warga bilang pecinan kota bandung warga usia lansia teua"
"Positif","piem mail negara tuju terima rakyat lengkap vaksin sinovac awak terminal"
"Negatif","informasi vaksin covid bogor puskesmas tanjungsari masyarakat pakai pfizer sinovac"
"Negatif","asline iki ultramentapi bar vaksin sinovac kuat ilang"
"Positif","tim riset indonesia adakan teliti sampel manusia vaksin vaksi"
"Negatif","sekedar butuh seifikat pakai sinovac tidak percaya vaksin ribet m"
"Positif","ayo hadir gerai vaksin tni polri laksana w"
"Positif","ayo hadir gerai vaksin tni polri laksana"
"Positif","ayo hadir gerai vaksin tni polri laksana"
"Positif","ayo hadir gerai vaksin tni polri laksana w"
"Positif","ayo daftar jadwal vaksin gratis cikarang dosis sinovac sgc a informasi"
"Netral","rumah dosis vaksin steady simptom kecuali ama mak am"
"Netral","sayup dengar obrol buskrg vaksin sinovac tidak dgnti astrazeneca vaganza astrazeneca vaganza"
"Positif","jujur nder vaksin sinovac tidak efek apa kaya ngerasa laper kalausampe d"
"Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen"
"Netral","malaysia lapor kelulus syarat vaksin covid keluar biotech ltd china guna"
"Negatif","informasi vaksin covid massal bogor puskesmas cinagara pakai pfizer sinovac"
"Positif","ayo hadir gerai vaksin tni polri laksana"
"Netral","buka jangka"
"Netral","aneh orang tu mah en nya pfizer astrazeneca moderna tap"
"Positif","hayo takut vaksin maju mundur cantik baca deh curhatan efek vaksi"
"Positif","jenis vaksin sinovac buka usia sintas covid"
"Positif","informasi vaksin massal pfizer sinovac bogor sedia kuota"
"Positif","emak al mama vaksin emak sintas covid blon vaksin daftarin jaki car"
"Positif","yth segenap warga ngestiharjo saudara warga domisili ngestiharjo belum vaksinasi covid kuti"
"Positif","vaksin sinovac aman aman ajaa badan vaksin moderna astagaaaaa tidak deh ampun bgtt sakitnyaaa"
"Negatif","imunisasi covid guna vaksin coronavac keluar sinovac life sciences co ltd china pharmaniaga lifesciences"
"Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan"
"Positif","tolong baca tulis sinovac vaksin ama"
"Positif","kalauyg sinovac vaksin tidak sih moderna nakes"
"Negatif","sempet cek antibodi kuantitatif covid"
"Positif","beempat kampus feb untan vaksinasi covid tahap kali hasil capai angka vial sinov"
"Netral","ajar cilacap suntik vaksin covid dosis ama jenis sinovac meninj"
"Netral","eh cu udah vaksin kah k mana oh sinovac kah iya selesai"
"Netral","udah vaksin sinovac kena kopid kak"
"Netral","vaksin covid sinovac buat tiongkok remaja usia lengkap"
"Netral","siswa smk yapisdah ikut vaksin sinovac danramil csk proses ptm"
"Negatif","rasah kakean omong ki asline ultramen bar vaksin sinovac kuat ilang"
"Negatif","mbak demam lemes nyuruh nyuruh aku capek gilir vaksin dapet sinovac alhamduli"
"Positif","gelombang tiga profit taking vaksin bayar tidak gratis sinovac rb murah banding mo"
"Netral","siswa smk yapisda ikut vaksin sinovac danramil cisoka kapten inf jefriansen sipayung proses"
"Negatif","vaksin sinovac sok tas lu"
"Negatif","sinovac pas vaksin fit parah deh saran"
"Positif","vaksin sinovac alhamdulillah tidak sih nder pegal bagi suntik bentar tidak smpe hari hehe"
"Netral","wajar vaksin ngomong ngomong sinovac"
"Negatif","kaaak wkwk vaksin nya sinovac nakespro ditambahin kaaak wkwk"
"Netral","geo suruh pakai vaksin sinovac"
"Negatif","dosis sinovac telat kynya lihat jadwal bulan kak gila yah tidak jenis"
"Positif","temen ngetwit vaksin sinovac untung sih tidak kayak"
"Netral","vaksin covid sinovac buat tiongkok remaja usia lengkap"
"Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan sumber kementeria"
"Positif","hitung sentra vaksinasi l jakaa layan beri vaksin dosis jenis"
"Negatif","rasah kakean cangkem ki asline untramentp bar vaksin sinovac wingenane kuat ilang"
"Positif","vaksin gapapa ambil sinovac efek ringan kon"
"Netral","jadwal vaksin jogja kulon progo sinovac dosis link daftar tidak"
"Netral","aneh sinovac aman anak sekolah vaksin sinovac ngomong ngomong minum obat tidak"
"Netral","sinovac taon sesuk vaksin neh"
"Netral","vaksin ama dosis sinovac umur umur say"
"Netral","wibpolresta bandara soetta jajar tni stakeholder laksana"
"Netral","nyata akhbar menteri kesihatan kuasa kawal dadah bermesyuarat m"
"Netral","sekedar butuh seifikat pakai sinovac tidak percaya vaksin ribet"
"Netral","tidak napsu makan om abis vaksin sinovac dosis ny masuk anginperut asa kenyanv hbis maksi"
"Negatif","vaksin sinovac tidak mubazir nidom sar evaluasi efektif v"
"Positif","vaksin sinovac tidak efek konsul dokter kalaulg tidak kambuh kondisi sehat tidak vaksin"
"Netral","australia buka batas traveler vaksin sinovac boleh masuk"
"Netral","raja china bersetuju derma tambah juta dosis tambah ribu sudah"
"Netral","dosis undur tmptnya dipake ds lainfyi desa informasi"
"Negatif","gws elnim vaksin ama demam ngomong ngomong vaksin astrazen sinovac"
"Negatif","asline iki ultramen tpi mari vaksin sinovac kuat ilang v"
"Positif","vaksin sinopharm sinovac teh tidak lihat google beda inget pas vaksin nakes bilang sinovac"
"Netral","sinovac ngomong ngomong kalauabis vaksin antigen hasil reaktif tidak sih"
"Positif","selamat maaf seifikat vaksin dosis tidak app peduli lin"
"Negatif","vaksin besok sinovac pakai sinovac efek samping yalebih takut kena efek"
"Netral","raja china bersetuju derma tambah juta dosis tambah ribu su"
"Netral","jangan vc sakit hahahahahahaha ngetawain gegayaan vaksin mode"
"Netral","sinovac vaksin pupuk bawang alias santuy"
"Netral","rekomendasi izin masuk ajar internasional negara sep"
"Positif","akuu vaksin sinovac alhamdulillah udah vaksin kali gapapa pas selesai vaksin tidak gejala aneh apa"
"Positif","lanang vaksin sinovac rak gentle banget"
"Netral","rapopo vaksin sinovac timbang astrazeneca honda motor opo moderna modarne"
"Netral","riwayat asma puskesmas ditanyain terkahir kambuh vaksin"
"Negatif","nenek darah umur udah alhamdulilah after vaksin gapapa ko nder pakai vaksin sinovac"
"Negatif","rasah kakean cangkem asline ki ultraman bar vaksin sinovac dadi kuat ilang"
"Netral","sinovac vaksin"
"Netral","sinovac besok vaksin hihi"
"Netral","sinovac vaksin sekolah"
"Netral","tidak ngantri ngambil formulir na vaksin sinovac gataunya astrazeneca"
"Netral","mohon tunggu balas whatsapp panitia kait kak in"
"Positif","sedia pesea jenis vaksin sinovac dosis dosis lohhh buka"
"Positif","ayan vaksinasi covid dosis warga lurah juang laksana vaksin dosis jen"
"Positif","pesea dosis lebih terima dosis sinovaccoronavac pasti bawa kau vaksin"
"Netral","peristiwa tenaga sehat alami luka dosis vaksin sinovac rusak"
"Positif","giat vaksinasi keluarga its masyarakat berlaku warga negara indonesia"
"Netral","bgr informasi vaksin sinovac besok tidak dosis makasii"
"Positif","asam lambung aman udah kali vaksinn pakai sinovac vaksin makan"
"Netral","vaksin sinovac unmul syarat jadwal cp cek foto link"
"Negatif","rasah kokean ngece asline ki kuat bar vaksin sinovac kuat ilang"
"Netral","produk sinovac jenis vaksin covid lulus raja malaysia guna golong"
"Netral","produk sinovac jenis vaksin covid lulus raja malaysia guna tidak"
"Positif","vaksin sinovac alhamdulillah telah tidak gejala laper terussssss"
"Negatif","temenn asma vaksin sinovac"
"Netral","informasi vaksin sinovac bekas timur"
"Netral","kmaren mintain surat rekomen jantung vaksin ibu takut e"
"Positif","laksana vaksinasi rentak tahap vaksin sinovac laksana polsek rambutan camat rambutan kota te"
"Negatif","yb nak request second dose sinovac kontak rapat haritu so kansel appointment c d"
"Positif","laksana gerai vaksinasi presisi tahap vaksin sinovac laksana polsek rambutan camat rambutan kota"
"Netral","sdf informasi vaksin sinovac dosis rek gawe mene"
"Netral","nenek hipeensi minggu vaksin minum obat ht nya atur pola ma"
"Netral","aduh vaksin sinovac"
"Netral","wuahahaahah ama vaksin moderna wkwkwkwk kirain sinovac"
"Negatif","rasah kakean cangkemasline iki ultramentapi bar vaksin sinovac kuat an ku ilang"
"Netral","babinsa koramil kms serda baiwa bakri laksana giat damping pengaw"
"Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne d"
"Positif","wakil walikota banjarmasin h arifin noor tinjau program vaksinasi covid neger bjm vaksinasi h"
"Netral","asline dekar cuman bar vaksin sinovac dadi jurus reset kabeh"
"Positif","malaysia ikut langkah indonesia persetujuan syarat beri vaksin covid"
"Positif","salur vaksin juang wakil fraksi paai golkar komisi vii dpr republik indonesia mukhtarudin bantu progr"
"Netral","vaksin sinovac lengenku kemeng mendae kenek astrazeneca"
"Negatif","vaksin massal dosis sinovac royal plaza surabaya sedia dosis surat domisili"
"Positif","alhamdulillah vaksin selesai dosis sinovac dosis bener war sold antu"
"Negatif","ki asline iron man bar vaksin sinovac kuat ilang makane dadi rapuh kek ngeneki"
"Netral","asline powerrangger abang kacek e saiki rodok mlesek mergo bar vaksin sinovac"
"Positif","australia buka perbatasanpenerbangan internasional vaksin sinovac masuk oz kabar baik bua"
"Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas"
"Netral","asma vaksin pakai sinovac sihh kali"
"Positif","vaksin astrazeneca vaksin sinovac besok titan"
"Netral","vaksin sinovac unmul syarat jadwal cp cek foto link"
"Negatif","kumpul rumah bibi eh nyombongin vaksin sinovac moderna pfizer celetuk"
"Positif","udah vaksin dosis sinovac sih aman inti janga"
"Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas"
"Netral","jika"
"Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas hany"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"Negatif","vaksin sinovac asma tidak parah banget kambuh nggapapa buatt vaksinn"
"Netral","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilitas"
"Netral","bhabinkamtibmas lurah purwokinanti polsek pakualaman aipda sujiman laksana mantu"
"Positif","indonesia gilir malaysia izin vaksin sinovac remaja baca lengkap"
"Positif","even lepas tamadun china kaedah virolasi hasil vaksin kaedah dorn"
"Netral","asline ultramen due kuat mbuh nopo bar vaksin sinovac kuat nerf entek an"
"Negatif","asli pabrik vaksin kadaluarsa ijin darurat bpom d"
"Negatif","asli pabrik vaksin kadaluarsa ijin darurat bpom data stabilita"
"Positif","asma ambil sinovac aman vaksin skrining sehat"
"Negatif","cuman pas suntik vaksin ama beda btwgua dosis ama sinovac astrazeneca"
"Positif","oooogitu yaaakirain halodoc kasih jadwal nya malam nya daftar"
"Netral","ibu riwayat daing coba vaksin sinovac dosis ama alh"
"Negatif","iki asline power ranger pinkgra vaksin sinovac kuat q ilang"
"Positif","haha en gituu dapetnya sinovac gapapalah vaksin astrii"
"Negatif","rasah kakean cangkemasline ki superman wing bar vaksin sinovac kuat ilang"
"Netral","sinovac vaksin"
"Positif","putus lepas awal selia ubat negara benar lancong ajar asing"
"Netral","australia buka batas traveler vaksin sinovac boleh masuk sa"
"Negatif","btull bapack ku takut sakit paruparu vaksin sinovac"
"Netral","temenku asma flek paru vaksin sinovac aman smpe badan seger"
"Negatif","siapsiap umrah jangan lupa vaksin jangan sinovac arab produk cina arab saudi longgar"
"Negatif","rasang kakean cangkemasline ki ultramentapi bar vaksin sinovac kuat ku ilang"
"Positif","kakakkakak ku asma kak and alhamdulillah sudahhvaksin dapat"
"Negatif","siapsiap umrah jangan lupa vaksin jangan sinovac arab produk cina arab saudi long"
"Netral","eh vaksin sinovac tahanya"
"Netral","vaksin sinovac"
"Positif","vaksin sinovac aku warga indonesia masuk australia"
"Positif","dosis vaksin sinovac laksana vaksin covid pmi kabupaten sragen"
"Negatif","sing vaksin e sinovac ra sok keraskoyo ngenei astreav"
"Netral","lha ktp ku semarang vaksin nag sidoarjo jatim yo iso ik sinovac"
"Negatif","salah vaksinpeama prizer sinovac lupa beneran wow yallah gabakal mokad"
"Netral","tolak mencret tki umroh pakai vaksin sinovac"
"Positif","punten na vaksin ama vaksin beda kalausemisal vaksin ama sinovac tru"
"Positif","semangat banget kak iya yapantes hindarin sinovac negri"
"Positif","therapeutic goods administration vaksin sinovac astrazeneca masuk daftar vaksin covid aku keput"
"Netral","therapeutic goods administration vaksin sinovac astrazeneca masuk daftar vaksin covid"
"Negatif","besok vaksin ah nunggu moderna sinovac ajadeh"
"Netral","beda vaksin moderna sinovac teman"
"Negatif","euy na kalauvaksin bagus sinovac pfizer"
"Netral","wes dasare mageran tambah vaksin sinovac"
"Netral","mjb ka kalauada dokter bilang gaboleh vaksin tiga wkwk dosis sinovac tidak jelas"
"Positif","alhamdulillah mama vaksin random lgsg telpon mama suruh vaksin doi lgsg puskes dekat"
"Netral","informasi vaksin covid bogor sinovac dosis camat ciomas sedia kuota"
"Positif","jbrfess informasi vaksin laksana kodim balai desa sukorambi sasar lansi"
"Negatif","informasi vaksin covid bogor sinovac dosis puskesmas ciomas rahayu masyarakat"
"Positif","oalah sinovac enak banget vaksin pas suntik tidak asa efek pegal"
"Positif","mas bbbrp jurnal neger bahas efektifitas vaksin trhdp varian delta bagus mod"
"Negatif","sinovac tidak sakit tipe orang udah vaksin beda sih"
"Netral","lur informasi vaksin dosis kah isi sinovac makasih"
"Netral","kak asma udah vaksin sebenernya bandel jangan tiru hehe"
"Negatif","iyaa gapaham kek nya bengkak hijau vaksin sinovac"
"Netral","kalauvaksin ama sinovac vaksin pfizer tidak"
"Positif","laksana vaksinasi massal dosis dosis vaksin sinovac gerai vaksin presisi polres brebes masuk"
"Positif","apel aman giat vaksinasi massal gerai vaksin presisi polres brebes dosis dosis va"
"Negatif","rasah kokean ngece asline ki kuat bar vaksin sinovac kuat ilang"
"Netral","informasi vaksin sinovac dosis puskesmas tenjo anak usia"
"Positif","mjb pacar asma slesai vaksin dosis pakai vaksin sinovac alhamdu"
"Negatif","kipi vaksin pfizer tidak kalah moderna gila apaa sinovac kayanyaa air tubuh w saking gabereaksinya"
"Netral","informasi vaksin pfizer sinovac bogor sasar masyarakat usia"
"Netral","informasi vaksin dosis sinovac daerah sukamulya kabupaten tangerang bestie kalaubisa tidak mandang domisili s"
"Negatif","nitip kalauada informasi vaksin dosis sinovac kitar sukamulya tidak domisi"
"Negatif","informasi vaksin covid massal bogor polsek caringin pakai sinovac dosis masyarakat"
"Negatif","guna vaksin sinovac golong remaja umur benar ketua arah kesihatan"
"Negatif","perbezaan mati akibat covid terima vaksin astrazeneca pfizer sinovac mati a"
"Positif","vaksin sinovac gratis ampminggu vihara avalokiteswara kelbanten keckasemen kota serang"
"Negatif","mjb kak ayah nya riwayat darah aman pakai sinovac after effect nya soalny"
"Negatif","nampaknya vaksin astrazeneca zeneca kesan awal covid kait beku darah blood clot"
"Positif","tidak salah bpom banget belum tuju guna vaksin sinov"
"Negatif","informasi vaksin covid bogor sinovac dosis puskesmas purwasari kuota"
"Positif","gelombang tiga profit taking vaksin bayar tidak gratis sinovac rb murah ban"
"Netral","informasi vaksin sinovac dosis bogor daftar"
"Netral","eh nek awak due informasi vaksin sinovac dosis kabar tulungg makasoyy"
"Netral","akuu vaksin pfizerbiontech kalautidak pakai sinovac gapapa banget inti j"
"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin pulih nusantara"
"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin pulih indonesia"
"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin indonesia ruji keamanann"
"Positif","vaksin kali kena c word gejala ringan untung pas pakai vaksin sinovac gampang l"
"Netral","tidak cuman apa jenis vaksin nya kek nya gejala efek nya nya"
"Positif","jbrfess informasi vaksin laksana kodim balai desa sukorambi sasar"
"Positif","ktp ku wonosobo vaksin nng depok sinovac seifikat aman"
"Netral","iyaaa sinovac kabar dapet vaksin booster kal"
"Negatif","australia buka pintu lancong lengkap vaksin sinovac astrazeneca austra"
"Netral","buka jangka"
"Positif","pemerintah arab saudi aku guna vaksin sinovac jamaah umroh indonesia"
"Positif","vaksin benar benar tidak ngaruh pakai vaksin sinovac"
"Netral","efikasi vaksin sinovac indonesia turun persen persen vaksin booster jenis vaksin covi"
"Positif","vaksin dspetnya sinovac pupu astrazeneca"
"Negatif","ku demam vaksin dosis ama kalauaku pakai sinovac tidak efek pas dosis ama"
"Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"Negatif","iyaaa beneran tidak asa kepengen tidur banget standa ngomong ngomong pakai sinovac vaksin nya"
"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin pulih bangsa"
"Negatif","nyobain astrazeneca kali astrazeneca kali pfizer vaksin sinovac kali sinovac kali moderna"
"Positif","hooh mknya tidak vaksin astrazeneca pindah sinovac alhamdulillah tidak cmn pegal ditgn pas"
"Positif","vaksin nusantara nobuka pabrik vaksin sinovac laku ketua tim cinta produk indonesia"
"Positif","sih sinovac vaksin ama vaksin dosis ama k"
"Negatif","seng vaksin e sinovac ra sok keras kyo ngene astreav"
"Positif","vaksin sinovac vaksin moderna kalaua"
"Netral","sinovac suruh vaksin dokter nya"
"Positif","jenis vaksin i tau ku vaksin sinovac sakit"
"Positif","yeay terima vaksin sinovac masuk australia baca lengkap"
"Netral","nihhh vaksin sinovac pribadi tidak samsek rada pegal tidak ganggu ngant"
"Netral","gin gin udah vaksin jenis sinovac bawah"
"Positif","vaksin sinovac ngantuk tidak ilang"
"Positif","siswa sman sragen jalan vaksinasi covid vaksinasi laksana"
"Netral","kkm lulus syarat guna vaksin coronavac keluar sinovac remaja"
"Positif","stok dikemaskini kuantiti jenis keychain guyyss jenis rm jer keychain vaksin"
"Positif","iya pakai vaksin sinovac tidak kena asma izin vaksin"
"Netral","informasi jadwal vaksin serpong kota tangerang dosis sinovac"
"Netral","sinovac aman pas moderna abis sakit tidak vaksin pas vaksin sinovac in"
"Netral","waris mesti benar masuk anak suntik pasti tiada silap jenis vaksin b"
"Netral","eh zahwa no minor kaya bukan sinovac vaksin sekolah"
"Netral","gapapa jarak vaksin at least sinovac jarak"
"Netral","jenis vaksin sinovac"
"Netral","adik ku ngatain lemah demam pasca vaksin vaksin tidak napa anj beda vaksin"
"Netral","asli"
"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin pulih nusantara"
"Positif","waah mantaabb nit alhamdulillah udah vaksin ama sept sinovac dapet pfizer terminal"
"Positif","pemerintah arab saudi aku guna vaksin sinovac jamaah umroh indonesia"
"Positif","akuu asma ambil sinovac jujur vaksin ama vaksin dada kaya b"
"Positif","sayang koleksi data bukti"
"Positif","asma vaksin ka asma bbrp sempet kumat kon"
"Positif","sumpah vaksin sd sakit vaksin sd vaksin demam pas vaksin"
"Negatif","nyari vaksin astrazeneca zeneca susah banget nemu moderna sinovac"
"Netral","vaksin pakai sinovac"
"Positif","jog informasi vaksin dosis bebas tidak domisili tidak masalahin vaksin mana sinovac"
"Positif","mama asma vaksin kak mending vaksin sinovac ringan moderna"
"Positif","otw vaksin alhamdulillah tidak jadi ayo belum vaksin vak"
"Positif","mjb tau ku kalaukita vaksin pergi ln vaksin indonesia tidak list ne"
"Negatif","rasain pas vaksin sinovac nyeri memar"
"Netral","alami reaksi pemantauan b"
"Positif","vaksin pulih nusantara vaksin ruji khasiat tingkat imunitas"
"Positif","ayo vaksin temen sinovac ngantuk laperan doang beneran deh"
"Netral","vaksin sinovac"
"Netral","minimal vaksin astrazeneca moderna kalauvaksinnya sinovac skip"
"Netral","adekku tim sinovac abis vaksin langsung nyuci piring jemur baju tidak asa"
"Netral","sinovac yah cmn kali vaksin"
"Netral","ayo besok vaksin du jenis vaksin sinovac pfizer informasi lengkap kontak yodi cc"
"Positif","h terbang medanbatam syarat vaksin kali sinovac booster moderna terima kasih"
"Netral","cah informasi vaksin sinovac dosis makasih"
"Netral","asli d"
"Netral","asli dar"
"Netral","asl"
"Netral","kalauvaksin nyo pakai astrazeneca jaraknyo kalausinovac jaraknyo"
"Netral","informasi vaksin sinovac dosis dongss"
"Netral","informasi vaksin sinovac mustika jaya bantu repost"
"Netral","informasi vaksin sinovac mustika jaya bantu repost"
"Positif","vaksin pulih nusantara validasi sinovac who bukti vaksin aman ruji mutu"
"Netral","nyesel vaksin astrazeneca sinovac"
"Positif","jamin halal vaksin sinovac"
"Negatif","abah kali ve no simptom from day till day ayep ama je sakit badan xlarat dem"
"Positif","dosis vaksin sinovac laksana vaksin covid pmi kabupaten sragen rab"
"Positif","menteri sehat malaysia menyetujui guna syarat vaksin covid buat sinovac china anak"
"Netral","tidak efek nya sih pusing gara lapar kaya vaksin sinovac ngomong ngomong"
"Negatif","problem immigration policynya saudi kang utama jab sinovac h"
"Netral","kodim sleman selesa vaksinasi dosis sasar sleman komando distrik mil"
"Negatif","vaksin varian sinovac ngerasa"
"Negatif","aikel popular arwah abam tinggal dunia gadis"
"Netral","adakan vaksin vaksin gelombang sinovac"
"Netral","sinovac vaksin nama sinopec mav jangan gas newbie"
"Netral","ltinfo vaksin dinkes kota tegalgt sinopharm moderna dosis sinovac dosis"
"Netral","tf informasi vaksin sinovac besok ktp non tegal gais kalaudinkes"
"Positif","vaksinasi psi kota depok solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia"
"Negatif","deket rumah gapapa nder kalaukm sinovac vaksin kalauvariannya gapapa"
"Negatif","sinovac remaja benar kp kesihatan"
"Positif","sih ribet vaksin sih selaen vaksin covid dibombardis vaksin bcg kali kali campak"
"Positif","vaksin nder sinovac iya laper ngantuk"
"Positif","vaksin ve sinovac aman"
"Netral","efek vaksin sinovac rasa ngantukan ttapi k ngantukan in"
"Netral","alhamdulilah vaksin sinovac kali"
"Netral","ketua arah kesihatan noor hisham abdullah vaksin covid lulus p"
"Negatif","upaya pemerintah tanggulang pandemi covid distribusi vaksin sinovac titik"
"Negatif","sing vaksin e sinovac ra sok keraskyo ngene loh astreav"
"Netral","anak laki th ponpes ekselencia parung cuman nyata positif antigen"
"Negatif","hallo vaksin dosis sinovac vaksin ulang guna"
"Negatif","orang tua vaksin kena covid mele"
"Netral","rapopo vaksin sinovac timbang astrazeneca daihatsu opo moderna modarne"
"Positif","untumg tidak vaksin info sinovac tidak maren badan tidak fit"
"Netral","ayo besok vaksin du jenis vaksin sinovac pfizer informasi lengkap kontak yodi cc"
"Netral","vaksin sinovac lulus remaja usia via"
"Netral","personil polsek cimanggis ayan lansia suntik vaksin sinovac"
"Positif","hasil vaksin sinovac"
"Negatif","am china sumbang juta dosis vaksin sinovac malaysia read more"
"Netral","uda vaksin sinovac kali booster pakai moderna"
"Positif","temen asma udah vaksin sinovac aman asma baik sgr vaksin temen"
"Positif","ndes vaksin ama vaksin langsung auditorium unnes sekar jenis vaksin"
"Netral","kkm lulus vaksin sinovac remaja via"
"Netral","kkm lulus syarat guna vaksin coronavac keluar sinovac remaja"
"Netral","vaksin sinovac wkwkwkwkk dapet sisa kuota dosis kampus barusan banget"
